validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,trovoada,chuvisco,nevoa_umida,nevoa_seca,nevoeiro,vis_setor,vis_setor_dir
"['05:00', '22/03']",22/03 05:00,120,4,,NIL,9999,,NIL,20,18,1016,88,,,,,,,,,
"['06:00', '22/03']",22/03 06:00,80,4,,NIL,9999,,NIL,18,17,1015,94,,,,,,,,,
"['07:00', '22/03']",22/03 07:00,80,3,,NIL,9999,,NIL,18,18,1015,100,,,,,,,,,
"['08:00', '22/03']",22/03 08:00,40,4,,NIL,9999,,NIL,18,18,1016,100,,,,,,,,,
"['09:00', '22/03']",22/03 09:00,70,4,,NIL,9999,,NIL,18,18,1016,100,,,,,,,,,
"['10:00', '22/03']",22/03 10:00,VRB,2,,NIL,9999,,NIL,18,18,1017,100,,,,,,,,,
"['11:00', '22/03']",22/03 11:00,VRB,1,,NIL,9999,,NIL,21,19,1017,88,,,,,,,,,
"['12:00', '22/03']",22/03 12:00,VRB,1,,NIL,9999,,NIL,23,19,1018,78,,,,,,,,,
"['13:00', '22/03']",22/03 13:00,VRB,2,,NIL,9999,,NIL,25,17,1018,61,,,,,,,,,
"['14:00', '22/03']",22/03 14:00,VRB,4,,NIL,9999,,2,27,16,1018,51,,,,,,,,,
"['15:00', '22/03']",22/03 15:00,VRB,3,,NIL,9999,,2,28,17,1018,51,,,,,,,,,
"['16:00', '22/03']",22/03 16:00,160,7,,150,9999,,2,29,18,1017,52,,,,,,,,,
"['17:00', '22/03']",22/03 17:00,140,9,,140,9999,,3,29,16,1017,45,,,,,,,,,
"['18:00', '22/03']",22/03 18:00,110,10,,120,9999,,3,29,17,1016,48,,,,,,,,,
"['19:00', '22/03']",22/03 19:00,120,12,,120,9999,,3,29,19,1016,55,,,,,,,,,
"['20:00', '22/03']",22/03 20:00,100,14,,NIL,9999,,2,27,19,1017,62,,,,,,,,,
"['21:00', '22/03']",22/03 21:00,120,14,,120,9999,,2,26,19,1017,65,,,,,,,,,
"['22:00', '22/03']",22/03 22:00,110,14,,NIL,9999,,NIL,25,19,1017,69,,,,,,,,,
"['23:00', '22/03']",22/03 23:00,110,12,,NIL,9999,,NIL,24,20,1018,78,,,,,,,,,
"['00:00', '23/03']",23/03 00:00,110,12,,NIL,9999,,NIL,23,20,1018,83,,,,,,,,,
"['01:00', '23/03']",23/03 01:00,110,12,,NIL,9999,,NIL,22,20,1018,88,,,,,,,,,
"['02:00', '23/03']",23/03 02:00,120,10,,NIL,9000,,NIL,22,20,1018,88,,,,,,,,,
"['03:00', '23/03']",23/03 03:00,120,9,,NIL,9000,,NIL,22,20,1018,88,,,,,,,,,
"['04:00', '23/03']",23/03 04:00,120,7,,NIL,9999,,NIL,22,20,1018,88,,,,,,,,,
"['05:00', '23/03']",23/03 05:00,120,6,,NIL,9999,,NIL,21,20,1017,94,,,,,,,,,
"['06:00', '23/03']",23/03 06:00,100,6,,NIL,9999,,NIL,21,20,1018,94,,,,,,,,,
