validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,nevoeiro,nevoa_umida,chuvisco,pancada,vis_setor,vis_setor_dir,vnt_vrb
"['10:00', '23/06']",23/06 10:00,130,3,9999,,,,,11,09,1021,87,,,,,,,,
"['11:00', '23/06']",23/06 11:00,120,4,9999,,,,,13,09,1022,77,,,,,,,,
"['12:00', '23/06']",23/06 12:00,160,2,9999,,,,,15,12,1023,82,,,,,,,,
"['13:00', '23/06']",23/06 13:00,70,8,9999,,,,,20,13,1023,64,,,,,,,,
"['14:00', '23/06']",23/06 14:00,30,6,9999,,,,,22,12,1023,53,,,,,,,,
"['15:00', '23/06']",23/06 15:00,60,9,9999,,,,,23,10,1021,44,,,,,,,,
"['16:00', '23/06']",23/06 16:00,20,10,9999,,,,,23,10,1020,44,,,,,,,,
"['17:00', '23/06']",23/06 17:00,30,7,9999,,,,,23,10,1019,44,,,,,,,,
"['18:00', '23/06']",23/06 18:00,60,6,9999,,,,,24,10,1019,41,,,,,,,,
"['19:00', '23/06']",23/06 19:00,40,4,9999,,,,,23,10,1019,44,,,,,,,,
"['20:00', '23/06']",23/06 20:00,90,9,9999,,,,,22,11,1019,50,,,,,,,,
"['21:00', '23/06']",23/06 21:00,80,7,9999,,,,,20,11,1020,56,,,,,,,,
"['22:00', '23/06']",23/06 22:00,80,7,9999,,,,,19,11,1020,60,,,,,,,,
"['23:00', '23/06']",23/06 23:00,80,9,9999,,,,,18,10,1020,60,,,,,,,,
"['00:00', '24/06']",24/06 00:00,90,7,9999,,,,,18,09,1020,56,,,,,,,,
"['01:00', '24/06']",24/06 01:00,80,2,9999,,,,,16,09,1021,63,,,,,,,,
"['02:00', '24/06']",24/06 02:00,80,2,9999,,,,,15,09,1021,67,,,,,,,,
"['03:00', '24/06']",24/06 03:00,0,0,9999,,,,,14,09,1021,72,,,,,,,,
"['04:00', '24/06']",24/06 04:00,100,2,9999,,,,,13,09,1021,77,,,,,,,,
"['05:00', '24/06']",24/06 05:00,90,2,9999,,,,,12,10,1021,88,,,,,,,,
"['06:00', '24/06']",24/06 06:00,100,3,9999,,,,,12,10,1022,88,,,,,,,,
"['07:00', '24/06']",24/06 07:00,100,5,9999,,,,,11,10,1022,94,,,,,,,,
"['08:00', '24/06']",24/06 08:00,100,5,9999,,,,,11,10,1022,94,,,,,,,,
"['09:00', '24/06']",24/06 09:00,160,2,9999,,,,,11,08,1020,82,,,,,,,,
"['10:00', '24/06']",24/06 10:00,170,2,9999,,,,,11,09,1021,87,,,,,,,,
"['11:00', '24/06']",24/06 11:00,140,2,9999,,,,,12,09,1021,82,,,,,,,,
"['12:00', '24/06']",24/06 12:00,160,2,9999,,,,,15,10,1022,72,,,,,,,,
"['13:00', '24/06']",24/06 13:00,100,4,9999,,,,,19,11,1022,60,,,,,,,,
"['14:00', '24/06']",24/06 14:00,100,6,9999,,,,,21,12,1022,56,,,,,,,,
"['15:00', '24/06']",24/06 15:00,120,5,9999,,,,,22,11,1021,50,,,,,,,,
"['16:00', '24/06']",24/06 16:00,150,3,9999,,,,,23,11,1020,47,,,,,,,,
"['17:00', '24/06']",24/06 17:00,160,2,9999,,,,,24,11,1019,44,,,,,,,,
